path,role
.gitattributes,Preserved existing artifact; version-named releases retain historical provenance
.github/workflows/finalize-v366-closure.yml,Preserved existing artifact; version-named releases retain historical provenance
.github/workflows/verify-current-release.yml,v368 directly affected documentation or verification
.github/workflows/verify-v330.yml,Preserved existing artifact; version-named releases retain historical provenance
.gitignore,Preserved existing artifact; version-named releases retain historical provenance
ARTEFACT_PROVENANCE.md,Preserved existing artifact; version-named releases retain historical provenance
CITATION.cff,Preserved existing artifact; version-named releases retain historical provenance
DATA_AVAILABILITY.md,Preserved existing artifact; version-named releases retain historical provenance
FILE_INDEX.csv,Preserved existing artifact; version-named releases retain historical provenance
FILE_INDEX_V366.csv,Preserved existing artifact; version-named releases retain historical provenance
FILE_INDEX_V367.csv,Preserved existing artifact; version-named releases retain historical provenance
FILE_INDEX_V368.csv,Current file index
FILE_INDEX_v330.csv,Preserved existing artifact; version-named releases retain historical provenance
LICENSE-CODE-MIT.txt,Preserved existing artifact; version-named releases retain historical provenance
LICENSE-DATA-CC-BY-4.0.txt,Preserved existing artifact; version-named releases retain historical provenance
LICENSING.md,Preserved existing artifact; version-named releases retain historical provenance
LOCAL_INVENTORY_V365_FINDINGS.md,Preserved existing artifact; version-named releases retain historical provenance
MANIFEST_SHA256.csv,Preserved existing artifact; version-named releases retain historical provenance
MANIFEST_V330_UPDATE_SHA256.csv,Preserved existing artifact; version-named releases retain historical provenance
MANIFEST_V366_SHA256.csv,Preserved existing artifact; version-named releases retain historical provenance
MANIFEST_V367_SHA256.csv,Preserved existing artifact; version-named releases retain historical provenance
MANIFEST_V368_SHA256.csv,Current integrity manifest; self excluded
PULL_REQUEST_V366_SUMMARY.md,Preserved existing artifact; version-named releases retain historical provenance
README.md,v368 directly affected documentation or verification
REPOSITORY_CLOSURE_V365.md,Preserved existing artifact; version-named releases retain historical provenance
REPOSITORY_CLOSURE_V366.md,Preserved existing artifact; version-named releases retain historical provenance
REPOSITORY_COMPLETENESS_AUDIT_V344.md,Preserved existing artifact; version-named releases retain historical provenance
