path,role
.gitattributes,repository research artefact
.github/workflows/finalize-v366-closure.yml,continuous-integration workflow
.github/workflows/verify-current-release.yml,continuous-integration workflow
.github/workflows/verify-v330.yml,continuous-integration workflow
.gitignore,repository research artefact
ARTEFACT_PROVENANCE.md,repository documentation / provenance / closure note
CITATION.cff,citation metadata
DATA_AVAILABILITY.md,repository documentation / provenance / closure note
FILE_INDEX.csv,historical file index
FILE_INDEX_V366.csv,current v366 tracked-file index
FILE_INDEX_v330.csv,historical file index
LICENSE-CODE-MIT.txt,licence / redistribution statement
LICENSE-DATA-CC-BY-4.0.txt,licence / redistribution statement
LICENSING.md,licence / redistribution statement
LOCAL_INVENTORY_V365_FINDINGS.md,repository research artefact
MANIFEST_SHA256.csv,historical integrity manifest
MANIFEST_V330_UPDATE_SHA256.csv,historical integrity manifest
MANIFEST_V366_SHA256.csv,current v366 SHA-256 integrity manifest (self excluded from hash rows)
README.md,repository documentation / provenance / closure note
REPOSITORY_CLOSURE_V365.md,repository documentation / provenance / closure note
REPOSITORY_CLOSURE_V366.md,repository documentation / provenance / closure note
REPOSITORY_COMPLETENESS_AUDIT_V344.md,repository documentation / provenance / closure note
REPOSITORY_COMPLETENESS_V365_PLAN.md,repository documentation / provenance / closure note
REPOSITORY_FIXTURE_STATIC_GATE_V365.md,repository documentation / provenance / closure note
REPOSITORY_FIXTURE_STATIC_TRANSFER_REVIEW_V365.md,repository documentation / provenance / closure note
REPOSITORY_FIXTURE_STATIC_V2_PASS.md,repository documentation / provenance / closure note
REPOSITORY_GAP_SCAN_V365.md,repository documentation / provenance / closure note
REPOSITORY_SAFE_TRANSFER_V365.md,repository documentation / provenance / closure note
REPRODUCIBILITY.md,repository documentation / provenance / closure note
SECURITY_AND_REDACTION.md,repository documentation / provenance / closure note
THESIS_V344_ALIGNMENT.md,thesis/repository alignment record
THESIS_V360_ALIGNMENT.md,thesis/repository alignment record
THESIS_V366_ALIGNMENT.md,thesis/repository alignment record
V366_CORRECTION_REGISTER.md,repository research artefact
analysis/README.md,analysis / release-validation code
analysis/analyze_coldstart.py,analysis / release-validation code
analysis/analyze_timeseries.py,analysis / release-validation code
analysis/ch4_evidence_pipeline.py,analysis / release-validation code
analysis/historical-provenance/README.md,historical analytical provenance
analysis/historical-provenance/phase3_inferential.py,historical analytical provenance
analysis/materialize_v330_pipeline.py,analysis / release-validation code
analysis/phase1_validation.py,analysis / release-validation code
analysis/phase2_eda.py,analysis / release-validation code
analysis/run_analysis.py,analysis / release-validation code
analysis/run_v330_from_repo.py,analysis / release-validation code
analysis/run_v360_from_repo.py,analysis / release-validation code
analysis/v330-payload/README.md,analysis / release-validation code
analysis/v330-payload/payload_01.b64,analysis / release-validation code
analysis/v330-payload/payload_02.b64,analysis / release-validation code
analysis/v330-payload/payload_03.b64,analysis / release-validation code
analysis/v330-payload/payload_04.b64,analysis / release-validation code
analysis/v330-payload/payload_05.b64,analysis / release-validation code
analysis/v360_release_corrections.py,analysis / release-validation code
application/.env.example,application source / runtime / reproduction configuration
application/DOCKERFILE_AUTHORITY_V365.md,application source / runtime / reproduction configuration
application/Dockerfile,application source / runtime / reproduction configuration
application/Dockerfile.apache-wsgi,application source / runtime / reproduction configuration
application/Dockerfile.benchmark.PUBLIC,application source / runtime / reproduction configuration
